city,year,weekofyear,week_start_date,precipitation_amt_mm,reanalysis_air_temp_k,reanalysis_avg_temp_k,reanalysis_dew_point_temp_k,reanalysis_max_air_temp_k,reanalysis_min_air_temp_k,reanalysis_precip_amt_kg_per_m2,reanalysis_relative_humidity_percent,reanalysis_sat_precip_amt_mm,reanalysis_specific_humidity_g_per_kg,reanalysis_tdtr_k
sj,1990,43,10/22/1990,127.03,298.9028571,299.0428571,296.2571429,300.9,297.2,94.52,85.50285714,127.03,17.75,1.8
sj,1990,44,10/29/1990,101.35,299.7271429,299.7785714,296.5342857,301.4,298.5,22.26,82.78714286,101.35,18.03428571,1.785714286
sj,1990,45,11/5/1990,20.46,299.9728571,300.0357143,296.5642857,302.2,298.5,14.4,81.71571429,20.46,18.07428571,2.385714286
sj,1990,46,11/12/1990,20,300.35,300.5,295.6871429,302.3,298.8,7.1,75.72857143,20,17.08571429,2.2
sj,1990,47,11/19/1990,20.04,299.5114286,299.6357143,295.3757143,301.6,297,36.7,78.15142857,20.04,16.75285714,2.528571429
sj,1990,48,11/26/1990,33.61,298.2385714,298.2642857,294.8114286,300.2,296.5,44.3,81.38571429,33.61,16.20857143,1.985714286
sj,1990,49,12/3/1990,9.96,298.5428571,298.6857143,294.7828571,300.8,296.7,71.8,79.90857143,9.96,16.16142857,2.057142857
sj,1990,50,12/10/1990,0,298.2028571,298.2785714,292.0042857,300.6,296.1,4.1,68.72285714,0,13.61571429,2.985714286
sj,1990,51,12/17/1990,52.45,298.2971429,298.3785714,294.5585714,300.9,296,32.31,80.08285714,52.45,15.95428571,2.871428571
sj,1990,52,12/24/1990,0,298.0385714,298.0857143,292.1057143,299.8,295.3,5.46,69.68142857,0,13.68285714,2.285714286
sj,1991,1,1/1/1991,0,297.06,297.1357143,291.9071429,299,293.9,4.8,72.93857143,0,13.51142857,2.528571429
sj,1991,2,1/8/1991,15.85,297.6742857,297.8285714,293.2828571,299.3,295.8,26.33,76.62857143,15.85,14.67142857,1.885714286
sj,1991,3,1/15/1991,0,297.4228571,297.6571429,293.4128571,299.3,296.1,27.4,78.5,0,14.79857143,2
sj,1991,4,1/22/1991,0,297.8842857,298.15,292.3828571,300.3,296,0.7,71.59714286,0,13.87857143,2.557142857
sj,1991,5,1/29/1991,0,298.0442857,298.2285714,292.5728571,300.1,295,5.7,71.78428571,0,14.04428571,2.771428571
sj,1991,6,2/5/1991,0,297.74,297.9285714,293.15,299.7,295,19.69,75.79428571,0,14.54142857,2.428571429
sj,1991,7,2/12/1991,18.05,296.8842857,297.1142857,292.9728571,300.2,294.1,21.4,78.89571429,18.05,14.46,3.2
sj,1991,8,2/19/1991,0,297.4142857,297.6142857,293.6314286,300.1,295.8,26.2,79.74,0,15.03571429,2.571428571
sj,1991,9,2/26/1991,31.79,297.5057143,297.8285714,293.4071429,299.8,295.8,23.8,77.97714286,31.79,14.79428571,2.114285714
sj,1991,10,3/5/1991,0,297.7771429,298.0785714,293.5314286,300.3,296.4,8.3,77.31571429,0,14.92,2.242857143
sj,1991,11,3/12/1991,0,297.4314286,297.6357143,293.3357143,300.1,295.7,13.37,78.13857143,0,14.78714286,2.728571429
sj,1991,12,3/19/1991,0,297.4071429,297.6142857,293.2542857,300.4,295.4,11.1,77.88285714,0,14.74571429,2.542857143
sj,1991,13,3/26/1991,0,297.47,297.6928571,293.74,301,295.7,21.26,80.00142857,0,15.14857143,2.757142857
sj,1991,14,4/2/1991,12.92,297.0642857,297.1857143,292.48,299.4,295.4,20.9,75.66285714,12.92,13.99142857,2.285714286
sj,1991,15,4/9/1991,6,297.3728571,297.6571429,293.6157143,299.2,295.9,19.78,79.62857143,6,14.99285714,2.628571429
sj,1991,16,4/16/1991,44.57,297.2842857,297.3928571,292.17,298.9,296,21.9,73.35142857,44.57,13.73285714,2.014285714
sj,1991,17,4/23/1991,32.72,298.0742857,298.2357143,294.0285714,299.6,296.7,19.7,78.44714286,32.72,15.46142857,2.3
sj,1991,18,4/30/1991,0,298.8314286,299.0714286,294.97,301,297.1,8.38,79.36,0,16.31428571,2.8
sj,1991,19,5/7/1991,35.38,298.6385714,298.7214286,294.8128571,300.9,297.2,20.6,79.54142857,35.38,16.18571429,2.414285714
sj,1991,20,5/14/1991,4.16,298.3257143,298.4071429,294.6185714,300.1,296.6,35.37,80.06714286,4.16,15.97428571,2.5
sj,1991,21,5/21/1991,51.16,298.5842857,298.4571429,295.1242857,300.4,297,59.3,81.30142857,51.16,16.50142857,1.857142857
sj,1991,22,5/28/1991,55.37,298.8085714,298.8857143,295.2742857,301.1,297.3,43.4,81.08857143,55.37,16.64571429,2.142857143
sj,1991,23,6/4/1991,8.08,299.5185714,299.75,294.9257143,301.6,297.4,5,76.07428571,8.08,16.32428571,2.871428571
sj,1991,24,6/11/1991,6.09,299.8914286,300.0714286,295.4928571,301.8,298.4,5.82,77.03571429,6.09,16.88285714,2.4
sj,1991,25,6/18/1991,44.25,299.7757143,299.9714286,296.3,301.9,298.4,17,81.42142857,44.25,17.70428571,2.171428571
sj,1991,26,6/25/1991,73.76,299.41,299.4785714,296.2285714,302.5,297.7,37.8,82.74571429,73.76,17.62857143,2.042857143
sj,1991,27,7/2/1991,26.7,299.3714286,299.3857143,295.9457143,302.4,297.4,51.99,81.69428571,26.7,17.35285714,2.142857143
sj,1991,28,7/9/1991,6.13,300.0014286,300.1714286,295.7914286,302.1,297.9,18.7,77.87714286,6.13,17.15142857,2.428571429
sj,1991,29,7/16/1991,29.67,300.2342857,300.3428571,296.0814286,302.2,298.6,23.6,78.24142857,29.67,17.47285714,2.428571429
sj,1991,30,7/23/1991,56.58,299.8085714,299.9785714,296.3328571,302.1,298.2,27.4,81.48285714,56.58,17.73428571,2.242857143
sj,1991,31,7/30/1991,48.41,299.8528571,299.9642857,296.4785714,302,298.3,34.39,81.89714286,48.41,17.87857143,2.3
sj,1991,32,8/6/1991,13.29,299.8314286,299.8642857,296.4685714,301.8,298.1,31.5,81.96,13.29,17.89571429,2.242857143
sj,1991,33,8/13/1991,0,300.42,300.65,296.4842857,302.8,298.7,20.4,79.19714286,0,17.91142857,2.185714286
sj,1991,34,8/20/1991,51.88,300.3114286,300.3857143,296.5814286,302.6,298.3,25.47,80.25571429,51.88,18.01142857,2.4
sj,1991,35,8/27/1991,55.2,300.1171429,300.2,296.67,302.3,298.6,23.8,81.59428571,55.2,18.09142857,2.371428571
sj,1991,36,9/3/1991,65.9,300.1057143,300.15,296.7985714,302.3,298.4,42.33,82.31,65.9,18.26285714,2.128571429
sj,1991,37,9/10/1991,33.56,300.54,300.6357143,296.4514286,302.8,298.7,11.4,78.62714286,33.56,17.89571429,3.042857143
sj,1991,38,9/17/1991,29.53,300.5271429,300.6,296.9014286,303,298.8,28.8,80.87714286,29.53,18.4,2.457142857
sj,1991,39,9/24/1991,73.55,300.06,300.05,296.59,302.4,298.2,77.5,81.42428571,73.55,18.04428571,2.071428571
sj,1991,40,10/1/1991,31.68,299.65,299.6928571,296.3971429,301.6,298.3,60,82.48571429,31.68,17.85,2.042857143
sj,1991,41,10/8/1991,32.1,299.5628571,299.6714286,295.8871429,302,297.6,55.1,80.51571429,32.1,17.34428571,2.257142857
sj,1991,42,10/15/1991,3.29,299.8971429,299.9214286,296.0185714,302,298.1,31.19,79.38285714,3.29,17.43142857,2.3
sj,1991,43,10/22/1991,50.24,299.8914286,299.9928571,295.4557143,302,298,12.6,76.77714286,50.24,16.85,2.814285714
sj,1991,44,10/29/1991,72.61,299.9057143,299.9928571,295.9185714,302.4,298.1,26.83,78.98714286,72.61,17.37571429,3.042857143
sj,1991,45,11/5/1991,42.92,299.09,299.2785714,295.5671429,302.6,297.3,74.83,81.05857143,42.92,16.96714286,2.9
sj,1991,46,11/12/1991,78.73,298.6857143,298.7857143,295.6157143,301,297.4,72.7,83.51428571,78.73,17.06142857,1.971428571
sj,1991,47,11/19/1991,0,298.6985714,298.7071429,294.03,300.8,297.1,15.1,75.54857143,0,15.46,2.271428571
sj,1991,48,11/26/1991,35.34,298.3757143,298.5,294.9385714,301.1,296.9,78.43,81.48571429,35.34,16.32285714,2.028571429
sj,1991,49,12/3/1991,0,298.6428571,298.8428571,294.9742857,300.5,297.7,35.1,80.27571429,0,16.34,1.8
sj,1991,50,12/10/1991,0,298.5185714,298.5928571,294.5142857,300.2,297.3,26.8,78.62142857,0,15.88428571,2.014285714
sj,1991,51,12/17/1991,0,298.0842857,298.1357143,292.8657143,299.6,296.6,8.76,72.86142857,0,14.33571429,2.071428571
sj,1991,52,12/24/1991,0,296.5214286,296.5071429,292.0457143,299.2,294.3,19.3,76.12714286,0,13.63571429,2.214285714
sj,1992,1,1/1/1992,,,,,,,,,,,
sj,1992,2,1/8/1992,200.85,297.9128571,298.1214286,294.4571429,300.4,296.1,18.3,81.3,200.85,15.87857143,2.3
sj,1992,3,1/15/1992,3.12,297.3385714,297.4857143,294.4671429,300.2,295.6,19.8,84.11714286,3.12,15.83285714,1.857142857
sj,1992,4,1/22/1992,0,297.0914286,297.3357143,293.0214286,299.5,295.6,5.11,78.29142857,0,14.48285714,2.357142857
sj,1992,5,1/29/1992,0,297.42,297.55,292.7185714,299.3,295.5,6.5,75.22,0,14.18571429,2.442857143
sj,1992,6,2/5/1992,0,296.92,297.1285714,292.6171429,300.7,294.5,16.2,77.05857143,0,14.12285714,3.4
sj,1992,7,2/12/1992,,297.7985714,298.0571429,294.65,300.2,295.3,20.1,82.87571429,,16.06,2.2
sj,1992,8,2/19/1992,,297.8985714,298.1071429,293.6285714,300.1,296.3,4.4,77.29571429,,15.01285714,2.585714286
sj,1992,9,2/26/1992,,297.4728571,297.6785714,292.9671429,299.3,296.3,14.4,76.03714286,,14.38142857,2.414285714
sj,1992,10,3/4/1992,0,297.6514286,297.8,293.3171429,299.8,295.7,5.5,76.87857143,0,14.70142857,2.314285714
sj,1992,11,3/11/1992,23.22,297.6342857,297.7857143,293.54,299.6,296.1,12.6,78.05714286,23.22,14.94428571,2.514285714
sj,1992,12,3/18/1992,0,297.9471429,298.15,293.7085714,300.4,295.5,3.56,77.50571429,0,15.13571429,2.7
sj,1992,13,3/25/1992,0,297.2185714,297.4285714,293.5785714,300.3,295.8,21,80.23857143,0,14.96857143,2.8
sj,1992,14,4/1/1992,122.27,297.9828571,298.0714286,293.8842857,300.2,296,16.2,78.06714286,122.27,15.26428571,2.742857143
sj,1992,15,4/8/1992,43.21,298.6828571,298.8785714,294.1957143,301.6,295.9,11.1,76.37571429,43.21,15.61285714,3.614285714
sj,1992,16,4/15/1992,83.11,297.8314286,298,294.9428571,300.4,296.6,70.6,84.18428571,83.11,16.32428571,2.142857143
sj,1992,17,4/22/1992,36.16,298.0885714,298.2571429,294.0485714,300.6,296.5,25.8,78.42571429,36.16,15.45285714,2.828571429
sj,1992,18,4/29/1992,0,298.1971429,298.5214286,293.4,302.1,295.6,4,74.93285714,0,14.9,3.614285714
sj,1992,19,5/6/1992,13.92,298.3357143,298.4428571,294.2214286,302.1,296,45,78.48,13.92,15.75,3
sj,1992,20,5/13/1992,2.94,298.3342857,298.5142857,294.2757143,300.4,296.4,27.5,78.38142857,2.94,15.68714286,2.228571429
sj,1992,21,5/20/1992,71.85,298.4085714,298.5571429,295.7671429,301,296.8,570.5,85.64714286,71.85,17.23285714,2.714285714
sj,1992,22,5/27/1992,186.25,298.6157143,298.75,296.3342857,301.4,297,130.3,87.30142857,186.25,17.83285714,2.357142857
sj,1992,23,6/3/1992,42.24,299.1042857,299.2285714,296.5228571,301,297.8,50,85.82714286,42.24,17.99571429,2.114285714
sj,1992,24,6/10/1992,43.21,298.9014286,298.9642857,296.1542857,300.5,297.6,43.8,84.87,43.21,17.57,1.985714286
sj,1992,25,6/17/1992,52.07,298.9314286,298.9571429,296.0428571,301,297,37.1,84.24857143,52.07,17.44142857,2
sj,1992,26,6/24/1992,52.96,299.5685714,299.55,296.3842857,301.8,298,33.7,82.77714286,52.96,17.80714286,1.728571429
sj,1992,27,7/1/1992,10.74,300.1771429,300.3785714,296.2757143,301.8,298.3,10,79.33428571,10.74,17.66714286,2.271428571
sj,1992,28,7/8/1992,1.86,300.2857143,300.5642857,296.1985714,302.2,298.7,5.4,78.49714286,1.86,17.56857143,2.785714286
sj,1992,29,7/15/1992,94.14,299.79,299.8285714,296.0528571,301.8,298,46.1,80.15,94.14,17.43,2
sj,1992,30,7/22/1992,33.51,299.2271429,299.3714286,295.8757143,301.1,298,69.04,81.98428571,33.51,17.24857143,2.028571429
sj,1992,31,7/29/1992,31.12,299.0257143,299.1071429,295.7457143,300.8,297.7,58.8,82.34571429,31.12,17.11428571,1.814285714
sj,1992,32,8/5/1992,59.22,299.7557143,299.9142857,296.1585714,301.5,297.6,27.1,80.78428571,59.22,17.54714286,2.428571429
sj,1992,33,8/12/1992,65.55,299.2157143,299.2214286,296.0071429,301.3,297.8,81.8,82.75,65.55,17.41571429,1.957142857
sj,1992,34,8/19/1992,68.22,299.4914286,299.7357143,296.2142857,301.9,298.3,61.6,82.31714286,68.22,17.60142857,2.242857143
sj,1992,35,8/26/1992,27.7,300.0671429,300.1571429,296.0571429,302.2,298.1,28.9,78.86428571,27.7,17.45857143,2.428571429
sj,1992,36,9/2/1992,61.55,300.1085714,300.1571429,296.1757143,302,298.4,34.36,79.20428571,61.55,17.56428571,2.2
sj,1992,37,9/9/1992,21.34,299.7271429,299.7571429,295.9371429,302.2,298.2,87.2,79.93,21.34,17.35285714,2.028571429
sj,1992,38,9/16/1992,41.32,299.9785714,300.0714286,296.1114286,302.2,298.4,32.6,79.52571429,41.32,17.54142857,2.342857143
sj,1992,39,9/23/1992,95.55,299.2928571,299.3785714,296.2814286,301.4,297.9,116.79,83.7,95.55,17.75142857,2.042857143
sj,1992,40,9/30/1992,97.7,299.6242857,299.7071429,296.13,302.3,297.6,34.2,81.29714286,97.7,17.60428571,2.3
sj,1992,41,10/7/1992,23.1,300.2671429,300.3285714,296.4242857,302.8,298.3,19.4,79.73714286,23.1,17.89714286,3.257142857
sj,1992,42,10/14/1992,18.95,300.1185714,300.2285714,295.8928571,302.6,297.7,11.3,77.83428571,18.95,17.30857143,2.971428571
sj,1992,43,10/21/1992,12.18,299.8485714,299.9142857,295.6457143,301.6,298.4,21.5,77.87571429,12.18,17.04428571,2.514285714
sj,1992,44,10/28/1992,80.58,299.8028571,299.8428571,295.8057143,302.3,297,25,78.91,80.58,17.24714286,3.028571429
sj,1992,45,11/4/1992,64,299.8071429,299.85,296.27,301.5,298.5,27.7,81.05285714,64,17.73,2.071428571
sj,1992,46,11/11/1992,40.06,299.0414286,299.2071429,295.0742857,300.9,297.4,31.72,79.01285714,40.06,16.48142857,2.414285714
sj,1992,47,11/18/1992,43.44,298.3428571,298.2857143,294.6528571,300.6,296.6,49.97,80.25571429,43.44,16.06714286,1.828571429
sj,1992,48,11/25/1992,47.42,298.6642857,298.7428571,296.0414286,301.1,296.9,128.1,85.58714286,47.42,17.52857143,2
sj,1992,49,12/2/1992,53.73,298.46,298.55,295.2528571,300.6,297,54.8,82.64857143,53.73,16.67857143,1.928571429
sj,1992,50,12/9/1992,86.28,298.7342857,298.9142857,294.65,300.5,297.5,19.23,78.31142857,86.28,16.02428571,2.114285714
sj,1992,51,12/16/1992,0,298.2857143,298.5071429,293.8285714,300.7,296.4,24.94,76.66142857,0,15.25142857,2.642857143
sj,1992,52,12/23/1992,0,297.1728571,297.35,292.8,299.1,296.1,23.8,76.75714286,0,14.32428571,1.928571429
sj,1993,53,1/1/1993,,,,,,,,,,,
sj,1993,1,1/8/1993,46.79,297.4671429,297.55,294.15,299.4,296.1,41.9,81.87857143,46.79,15.52,1.9
sj,1993,2,1/15/1993,0,297.3314286,297.3428571,293.0685714,299.2,296.2,27.5,77.14428571,0,14.46714286,1.714285714
sj,1993,3,1/22/1993,0,297.4014286,297.6285714,293.0757143,299.5,296.2,11.2,76.98428571,0,14.49,2.2
sj,1993,4,1/29/1993,0,296.9671429,297.1285714,292.8414286,299.2,295.5,21.8,77.86285714,0,14.30714286,2.085714286
sj,1993,5,2/5/1993,75.97,297.6242857,297.6857143,294.0328571,300.4,295.6,26.3,80.61,75.97,15.45285714,2.085714286
sj,1993,6,2/12/1993,0,296.5942857,296.8,292.8714286,299.7,294.7,14.3,79.82571429,0,14.38571429,2.342857143
sj,1993,7,2/19/1993,14.71,297.76,297.9714286,293.3428571,299.6,296.4,7.2,76.53285714,14.71,14.75285714,2.485714286
sj,1993,8,2/26/1993,0,296.7685714,296.8714286,292.3014286,300.1,294.6,21.5,76.21714286,0,13.82714286,2.771428571
sj,1993,9,3/5/1993,0,297.0142857,297.2428571,291.9114286,299.7,295.2,1.8,73.22571429,0,13.49428571,2.8
sj,1993,10,3/12/1993,0,296.4257143,296.6428571,290.7757143,298.9,294.1,2.7,70.64571429,0,12.58285714,2.485714286
sj,1993,11,3/19/1993,9.68,297.8557143,298.0142857,293.6928571,300.4,295.5,10.5,77.78428571,9.68,15.06428571,2.685714286
sj,1993,12,3/26/1993,27,297.5857143,297.6714286,293.2228571,299.8,296.3,13,76.84857143,27,14.64857143,2.257142857
sj,1993,13,4/2/1993,0,297.34,297.4428571,293.8128571,299.4,295.7,20.27,80.79571429,0,15.2,2.142857143
sj,1993,14,4/9/1993,7.49,297.7457143,297.8928571,293.7528571,300.1,296.2,14.2,78.56428571,7.49,15.16285714,2.357142857
sj,1993,15,4/16/1993,19.74,298.0128571,298,294.0657143,300.1,295.9,23.2,78.96142857,19.74,15.5,3.057142857
sj,1993,16,4/23/1993,114.85,297.5285714,297.7428571,294.0728571,300.1,294.5,63.49,81.27142857,114.85,15.48857143,2.771428571
sj,1993,17,4/30/1993,33.35,298.5914286,298.6928571,295.1942857,300.4,297,34.3,81.65571429,33.35,16.59714286,2.471428571
sj,1993,18,5/7/1993,37.35,298.1528571,298.1857143,295.26,300.1,296.9,40.7,84.08142857,37.35,16.65857143,1.857142857
sj,1993,19,5/14/1993,34.9,297.6714286,297.6928571,294.8471429,300.4,296.1,142.4,84.52142857,34.9,16.26714286,2.5
sj,1993,20,5/21/1993,14.84,298.6042857,298.7214286,295.3242857,301.2,296.4,55.67,82.43571429,14.84,16.85714286,2.214285714
sj,1993,21,5/28/1993,78.17,299.3642857,299.3785714,296.6757143,301.8,297.6,100.2,85.39857143,78.17,18.18571429,2.271428571
sj,1993,22,6/4/1993,62.2,298.8442857,298.9142857,296.4514286,301.4,297.3,93.2,86.9,62.2,17.95142857,1.914285714
sj,1993,23,6/11/1993,8.48,300.6585714,300.7357143,296.9785714,302.8,298.5,20.2,80.61571429,8.48,18.49142857,2.642857143
sj,1993,24,6/18/1993,30.65,299.1842857,299.2642857,295.7428571,301,297.7,55.5,81.49285714,30.65,17.13,2.1
sj,1993,25,6/25/1993,93.75,299.5214286,299.4928571,296.2942857,301.8,297.5,74,82.60857143,93.75,17.71285714,1.957142857
sj,1993,26,7/2/1993,8.49,299.7042857,299.8428571,296.51,301.6,298.2,27.5,82.83285714,8.49,17.92285714,2
sj,1993,27,7/9/1993,37.28,299.5671429,299.6285714,296.03,301.6,297.5,72.8,81.14857143,37.28,17.40714286,1.885714286
sj,1993,28,7/16/1993,73.94,299.5842857,299.7071429,296.0557143,301.9,297.7,67.7,81.21571429,73.94,17.46,2.5
sj,1993,29,7/23/1993,4.81,299.8914286,299.9642857,295.94,302,298.3,29.4,79.15,4.81,17.31714286,2.471428571
sj,1993,30,7/30/1993,78.03,299.2371429,299.2642857,296.5928571,301.3,298,109,85.55142857,78.03,18.03428571,1.757142857
sj,1993,31,8/6/1993,12.38,300.0628571,300.2642857,296.8571429,302,298.3,12.6,82.88285714,12.38,18.32714286,2.357142857
sj,1993,32,8/13/1993,7.25,300.1214286,300.35,296.5614286,302,298.7,21.8,81.01285714,7.25,17.98857143,2.328571429
sj,1993,33,8/20/1993,106.83,299.67,299.7714286,296.5128571,302.3,297.8,62.7,83.07571429,106.83,17.95285714,2.228571429
sj,1993,34,8/27/1993,1.36,299.9185714,299.9857143,296.49,302.1,297.9,26.9,81.72714286,1.36,17.91714286,2.314285714
sj,1993,35,9/3/1993,30.85,299.9757143,300.0357143,296.1071429,302,298.5,34.4,79.62857143,30.85,17.52714286,2.185714286
sj,1993,36,9/10/1993,43.26,299.7614286,299.8571429,296.1285714,302.6,298.2,42.1,80.68428571,43.26,17.56142857,2.171428571
sj,1993,37,9/17/1993,14.42,299.6728571,299.7857143,296.2914286,301.9,298.3,50,81.79428571,14.42,17.70428571,1.942857143
sj,1993,38,9/24/1993,71.36,300.0671429,300.1428571,296.4614286,302.4,298.2,57.9,80.90142857,71.36,17.95285714,2.685714286
sj,1993,39,10/1/1993,72.86,299.8857143,299.9428571,296.6514286,302.1,298.4,76,82.61,72.86,18.12,2.171428571
sj,1993,40,10/8/1993,27.62,299.5914286,299.6071429,296.6328571,301.1,298.2,55.36,83.84142857,27.62,18.10428571,1.671428571
sj,1993,41,10/15/1993,8.01,299.9571429,300.0428571,296.4257143,301.8,298.7,35.8,81.10285714,8.01,17.86,1.942857143
sj,1993,42,10/22/1993,0,300.1814286,300.2428571,296.1685714,302.4,298,17,78.80714286,0,17.59285714,2.257142857
sj,1993,43,10/29/1993,70.07,299.7885714,299.7214286,296.1142857,301.5,298.1,57.6,80.39857143,70.07,17.55571429,1.957142857
sj,1993,44,11/5/1993,0,299.8857143,299.9214286,296.0071429,301.9,298.5,16.1,79.50428571,0,17.44142857,2.3
sj,1993,45,11/12/1993,0,299.2285714,299.35,295.2985714,300.9,297.8,25.6,79.03714286,0,16.66285714,2.271428571
sj,1993,46,11/19/1993,12.5,298.8457143,299.05,295.1885714,301,297.5,70.71,80.37714286,12.5,16.58,1.842857143
sj,1993,47,11/26/1993,91.81,298.5714286,298.6785714,295.2557143,301.1,296.8,118.1,82.15428571,91.81,16.66142857,1.871428571
sj,1993,48,12/3/1993,6.09,298.6271429,298.7214286,294.9657143,300.5,297.2,25.7,80.46571429,6.09,16.40142857,2.014285714
sj,1993,49,12/10/1993,5.29,298.2185714,298.1928571,294.52,300.5,296.6,43.4,80.30285714,5.29,15.93285714,2.357142857
sj,1993,50,12/17/1993,14.82,298.5657143,298.5857143,294.16,300.8,296.2,28.6,76.85428571,14.82,15.57142857,2.457142857
sj,1993,51,12/24/1993,42.62,298.2185714,298.3357143,294.2342857,301.2,296.1,33.6,78.82857143,42.62,15.65,2.557142857
sj,1994,52,1/1/1994,5.25,298.5271429,298.7785714,294.4014286,301,296,3.4,78.01857143,5.25,15.78,2.442857143
sj,1994,1,1/8/1994,12.6,298.1914286,298.2857143,293.5857143,300.1,296.3,19.5,75.74285714,12.6,14.95142857,2.057142857
sj,1994,2,1/15/1994,0,297.59,297.6928571,293.7214286,299.6,296,19.4,79.15,0,15.09714286,2.214285714
sj,1994,3,1/22/1994,0,297.9128571,297.9428571,293.37,299.7,296.2,16.4,75.98428571,0,14.77571429,2.114285714
sj,1994,4,1/29/1994,0,297.5714286,297.7071429,293.5314286,299.2,296.3,19.04,78.38142857,0,14.93857143,2.328571429
sj,1994,5,2/5/1994,0,297.5885714,297.7142857,293.23,299.8,295.8,21.8,76.82571429,0,14.63428571,2.2
sj,1994,6,2/12/1994,0,297.5157143,297.5714286,292.8528571,299.2,295.9,11.5,75.31,0,14.28857143,1.742857143
sj,1994,7,2/19/1994,0,297.7742857,297.9428571,292.5771429,299.4,295.5,7.2,72.88571429,0,14.02,2.285714286
sj,1994,8,2/26/1994,0,297.4557143,297.5642857,292.6728571,299.3,296.1,11.5,74.78857143,0,14.15714286,2.357142857
sj,1994,9,3/5/1994,0,297.2357143,297.3357143,293.1285714,300.1,295.4,16.7,77.91571429,0,14.55857143,2.5
sj,1994,10,3/12/1994,7.15,297.2685714,297.4071429,293.8871429,299.5,295.5,18.7,81.51857143,7.15,15.25857143,2.442857143
sj,1994,11,3/19/1994,0,297.5014286,297.6714286,292.8642857,299.8,295.6,6.69,75.43571429,0,14.33428571,2.571428571
